Season;Player;Tkl%;Succ. Take-on%;Tkl/90;KP/90;Fin 3rd/90;PrgC/90;Dis/90;Mis/90;Pass Cmp%
23/24;Ryan Gravenberch;45.2;42.6;1.7;1.3;2.7;2.4;0.9;3.2;82.0
24/25;Ryan Gravenberch;56.7;56.7;2.1;0.7;5.2;2.4;0.4;1.4;90.1
